seed,func,d,min
566913,Trid,10,1.05E-03
620838,Trid,10,2.99E-03
677318,Trid,10,1.64E-05
736263,Trid,10,6.60E-07
797723,Trid,10,3.34E-03
861591,Trid,10,5.06E-05
927870,Trid,10,9.61E-05
996556,Trid,10,5.06E-05
1067642,Trid,10,5.16E-04
76,Trid,20,4.97E-04
2815,Trid,20,5.48E-04
7933,Trid,20,8.91E-03
15435,Trid,20,1.90E-02
25313,Trid,20,4.04E-04
37573,Trid,20,6.40E-04
52211,Trid,20,2.91E-03
69250,Trid,20,2.11E-03
88866,Trid,20,8.20E-03
111075,Trid,20,7.36E-03
135748,Trid,20,3.42E-02
162835,Trid,20,1.00E-03
192338,Trid,20,5.03E-04
224320,Trid,20,2.61E-03
258698,Trid,20,3.67E-02
295490,Trid,20,3.03E-03
334663,Trid,20,3.76E-04
376271,Trid,20,3.05E-02
420279,Trid,20,8.47E-03
466706,Trid,20,1.75E-04
515583,Trid,20,8.71E-04
566913,Trid,20,1.64E-03
620838,Trid,20,1.32E-03
677318,Trid,20,1.17E-02
736263,Trid,20,6.59E-03
797723,Trid,20,1.61E-03
861591,Trid,20,4.14E-02
927870,Trid,20,1.96E-04
996556,Trid,20,9.94E-04
1067642,Trid,20,6.46E-04
